gpu_name,url,graphics_processor.gpu_name,graphics_processor.gpu_variant,graphics_processor.architecture,graphics_processor.foundry,graphics_processor.process_size,graphics_processor.transistors,graphics_processor.die_size,graphics_card.release_date,graphics_card.availability,graphics_card.generation,graphics_card.predecessor,graphics_card.successor,graphics_card.production,graphics_card.launch_price,graphics_card.current_price,graphics_card.bus_interface,graphics_card.reviews,clock_speeds.base_clock,clock_speeds.boost_clock,clock_speeds.soc_clock,clock_speeds.uvd_clock,clock_speeds.memory_clock,memory.memory_size,memory.memory_type,memory.memory_bus,memory.bandwidth,render_config.shading_units,render_config.tmus,render_config.rops,render_config.compute_units,render_config.rt_cores,render_config.l0_cache,render_config.l1_cache,render_config.l2_cache,render_config.l3_cache,theoretical_performance.pixel_rate,theoretical_performance.texture_rate,theoretical_performance.fp16_(half)_performance,theoretical_performance.fp32_(float)_performance,theoretical_performance.fp64_(double)_performance,board_design.slot_width,board_design.length,board_design.width,board_design.height,board_design.tdp,board_design.suggested_psu,board_design.outputs,board_design.power_connectors,board_design.part_number,board_design.board_number,graphics_features.directx,graphics_features.opengl,graphics_features.opencl,graphics_features.vulkan,graphics_features.pixel_shader,graphics_features.vertex_shader
NVIDIA GeForce 940MX,https://www.techpowerup.com/gpu-specs/geforce-940mx.c2797,GM108,N16S-GTR-S,Maxwell,TSMC,28 nm,unknown,unknown,2016,,GeForce 900M,GeForce 800M,GeForce 10 Mobile,End-of-life,,,PCIe 3.0 x8,,1004 MHz,1242 MHz,,,"1001 MHz
										
					2 Gbps effective",2 GB,DDR3,64 bit,16.02 GB/s,384,24,8,,,,64 KB (per SMM),1024 KB,,9.936 GPixel/s,29.81 GTexel/s,,953.9 GFLOPS,29.81 GFLOPS (1:32),MXM Module,,,,23 W,,No outputs,None,,,12 (11_0),4.6,3.0,1.3,,
NVIDIA GeForce 945M,https://www.techpowerup.com/gpu-specs/geforce-945m.c2836,GM108,,Maxwell,TSMC,28 nm,unknown,unknown,"Apr 8th, 2016",,GeForce 900M,GeForce 800M,GeForce 10 Mobile,End-of-life,,,PCIe 3.0 x8,,1006 MHz,1189 MHz,,,"1001 MHz
										
					2 Gbps effective",1024 MB,DDR3,64 bit,16.02 GB/s,384,24,8,,,,64 KB (per SMM),1024 KB,,9.512 GPixel/s,28.54 GTexel/s,,913.2 GFLOPS,28.54 GFLOPS (1:32),MXM Module,,,,23 W,,No outputs,None,,,12 (11_0),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1060 Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1060-mobile.c3016,GP106,N17E-G1-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Aug 15th, 2016",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,117 in our database,1404 MHz,1670 MHz,,,"2002 MHz
										
					8 Gbps effective",6 GB,GDDR5,192 bit,192.2 GB/s,1280,80,48,,,,48 KB (per SM),1536 KB,,80.16 GPixel/s,133.6 GTexel/s,66.80 GFLOPS (1:64),4.275 TFLOPS,133.6 GFLOPS (1:32),MXM Module,,,,80 W,,No outputs,None,,E2914 SKU 30,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1070 Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1070-mobile.c2869,GP104,N17E-G2-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Aug 15th, 2016",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,125 in our database,1442 MHz,1645 MHz,,,"2002 MHz
										
					8 Gbps effective",8 GB,GDDR5,256 bit,256.3 GB/s,2048,128,64,,,,48 KB (per SM),2 MB,,105.3 GPixel/s,210.6 GTexel/s,105.3 GFLOPS (1:64),6.738 TFLOPS,210.6 GFLOPS (1:32),MXM Module,,,,120 W,,No outputs,None,,E2914 SKU 10,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1080 Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080-mobile.c2870,GP104,N17E-G3-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Aug 15th, 2016",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,183 in our database,1556 MHz,1734 MHz,,,"1251 MHz
										
					10 Gbps effective",8 GB,GDDR5X,256 bit,320.3 GB/s,2560,160,64,,,,48 KB (per SM),2 MB,,111.0 GPixel/s,277.4 GTexel/s,138.7 GFLOPS (1:64),8.878 TFLOPS,277.4 GFLOPS (1:32),MXM Module,,,,150 W,,No outputs,None,,E2915 SKU 10,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 965M,https://www.techpowerup.com/gpu-specs/geforce-gtx-965m.c2796,GM206,N16E-GR,Maxwell 2.0,TSMC,28 nm,"2,940 million",228 mm²,2016,,GeForce 900M,GeForce 800M,GeForce 10 Mobile,End-of-life,,,MXM-B (3.0),1 in our database,935 MHz,1150 MHz,,,"1253 MHz
										
					5 Gbps effective",2 GB,GDDR5,128 bit,80.19 GB/s,1024,64,32,,,,48 KB (per SMM),1024 KB,,36.80 GPixel/s,73.60 GTexel/s,,2.355 TFLOPS,73.60 GFLOPS (1:32),MXM Module,,,,unknown,,No outputs,None,,,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 980MX,https://www.techpowerup.com/gpu-specs/geforce-gtx-980mx.c2808,GM204,N16E-GXX-A1,Maxwell 2.0,TSMC,28 nm,"5,200 million",398 mm²,"Jun 1st, 2016",,GeForce 900M,GeForce 800M,GeForce 10 Mobile,End-of-life,,,PCIe 3.0 x16,,1050 MHz,1178 MHz,,,"1500 MHz
										
					6 Gbps effective",8 GB,GDDR5,256 bit,192.0 GB/s,1664,104,64,,,,48 KB (per SMM),2 MB,,75.39 GPixel/s,122.5 GTexel/s,,3.920 TFLOPS,122.5 GFLOPS (1:32),MXM Module,,,,148 W,,No outputs,None,,,12 (12_1),4.6,3.0,1.3,,
NVIDIA Jetson TX2 GPU,https://www.techpowerup.com/gpu-specs/jetson-tx2-gpu.c3231,GP10B,Tegra X2,Pascal,TSMC,16 nm,unknown,unknown,2016,,Tegra,,,Active,249 USD,,IGP,,854 MHz,1465 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,16,,,,48 KB (per SM),512 KB,,23.44 GPixel/s,23.44 GTexel/s,1.500 TFLOPS (2:1),750.1 GFLOPS,23.44 GFLOPS (1:32),IGP,"87 mm
					3.4 inches","50 mm
					2 inches",,15 W,,No outputs,,,,12 (12_1),4.6,1.2,1.2,,
NVIDIA Quadro M500M,https://www.techpowerup.com/gpu-specs/quadro-m500m.c2843,GM108,N15M-Q3,Maxwell,TSMC,28 nm,unknown,unknown,"Apr 27th, 2016",,"Quadro Mobile
(Mx000M)",,,End-of-life,,,MXM-A (3.0),26 in our database,1029 MHz,1124 MHz,,,"900 MHz
										
					1800 Mbps effective",2 GB,DDR3,64 bit,14.40 GB/s,384,16,8,,,,64 KB (per SMM),1024 KB,,8.992 GPixel/s,17.98 GTexel/s,,863.2 GFLOPS,26.98 GFLOPS (1:32),MXM Module,,,,30 W,,No outputs,None,,,12 (11_0),4.6,3.0,1.3,,
NVIDIA Quadro M5500 Mobile,https://www.techpowerup.com/gpu-specs/quadro-m5500-mobile.c2838,GM204,,Maxwell 2.0,TSMC,28 nm,"5,200 million",398 mm²,"Apr 8th, 2016",,"Quadro Mobile
(Mx000M)",,,End-of-life,,,MXM-B (3.0),,1140 MHz,1165 MHz,,,"1753 MHz
										
					7 Gbps effective",8 GB,GDDR5,256 bit,224.4 GB/s,2048,128,64,,,,48 KB (per SMM),2 MB,,74.56 GPixel/s,149.1 GTexel/s,,4.772 TFLOPS,149.1 GFLOPS (1:32),MXM Module,,,,150 W,,No outputs,None,,,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GT 1030,https://www.techpowerup.com/gpu-specs/geforce-gt-1030.c2954,GP108,GP108-300-A1,Pascal,Samsung,14 nm,"1,800 million",74 mm²,"May 17th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,79 USD,,PCIe 3.0 x4,6 in our database,1228 MHz,1468 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,64 bit,48.06 GB/s,384,24,16,,,,48 KB (per SM),512 KB,,23.49 GPixel/s,35.23 GTexel/s,17.62 GFLOPS (1:64),"1,127 GFLOPS",35.23 GFLOPS (1:32),Single-slot,"145 mm
					5.7 inches","69 mm
					2.7 inches","18 mm
					0.7 inches",30 W,200 W,1x DVI1x HDMI 2.0,None,,PG110 SKU 0,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GT 720 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-720-oem.c3572,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Oct 29th, 2017",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,,,,,,"891 MHz
										
					1782 Mbps effective",1024 MB,DDR3,128 bit,28.51 GB/s,192,16,16,,,,16 KB (per SMX),256 KB,,3.972 GPixel/s,15.89 GTexel/s,,381.3 GFLOPS,15.89 GFLOPS (1:24),Single-slot,"145 mm
					5.7 inches",,,50 W,250 W,1x DVI1x HDMI 1.4a1x VGA,None,,P2011,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 1060 5 GB,https://www.techpowerup.com/gpu-specs/geforce-gtx-1060-5-gb.c3060,GP106,GP106-350-K3-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Dec 26th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,,,PCIe 3.0 x16,117 in our database,1506 MHz,1709 MHz,,,"2002 MHz
										
					8 Gbps effective",5 GB,GDDR5,160 bit,160.2 GB/s,1280,80,40,,,,48 KB (per SM),1280 KB,,68.36 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),Dual-slot,"250 mm
					9.8 inches",,,120 W,300 W,1x DVI1x HDMI 2.03x DisplayPort 1.4a,1x 6-pin,,PG410 SKU 20,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1060 6 GB 9Gbps,https://www.techpowerup.com/gpu-specs/geforce-gtx-1060-6-gb-9gbps.c2952,GP106,GP106-410-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Apr 20th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,299 USD,,PCIe 3.0 x16,117 in our database,1506 MHz,1709 MHz,,,"2257 MHz
										
					9 Gbps effective",6 GB,GDDR5,192 bit,216.7 GB/s,1280,80,48,,,,48 KB (per SM),1536 KB,,82.03 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),Dual-slot,"250 mm
					9.8 inches",,,120 W,300 W,1x DVI1x HDMI 2.03x DisplayPort 1.4a,1x 6-pin,,PG410 SKU 40,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1070 Ti,https://www.techpowerup.com/gpu-specs/geforce-gtx-1070-ti.c3010,GP104,GP104-300-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Nov 2nd, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,399 USD,,PCIe 3.0 x16,81 in our database,1607 MHz,1683 MHz,,,"2002 MHz
										
					8 Gbps effective",8 GB,GDDR5,256 bit,256.3 GB/s,2432,152,64,,,,48 KB (per SM),2 MB,,107.7 GPixel/s,255.8 GTexel/s,127.9 GFLOPS (1:64),8.186 TFLOPS,255.8 GFLOPS (1:32),Dual-slot,"267 mm
					10.5 inches","112 mm
					4.4 inches","40 mm
					1.6 inches",180 W,450 W,1x DVI1x HDMI 2.03x DisplayPort 1.4a,1x 8-pin,,PG411,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1080 11Gbps,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080-11gbps.c2951,GP104,GP104-410-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Apr 20th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,499 USD,,PCIe 3.0 x16,183 in our database,1607 MHz,1733 MHz,,,"1376 MHz
										
					11 Gbps effective",8 GB,GDDR5X,256 bit,352.3 GB/s,2560,160,64,,,,48 KB (per SM),2 MB,,110.9 GPixel/s,277.3 GTexel/s,138.6 GFLOPS (1:64),8.873 TFLOPS,277.3 GFLOPS (1:32),Dual-slot,"267 mm
					10.5 inches","112 mm
					4.4 inches","40 mm
					1.6 inches",180 W,450 W,1x DVI1x HDMI 2.03x DisplayPort 1.4a,1x 8-pin,,PG413 SKU 5,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1080 Ti,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080-ti.c2877,GP102,GP102-350-K1-A1,Pascal,TSMC,16 nm,"11,800 million",471 mm²,"Mar 10th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,699 USD,"Amazon
					 / 										Newegg",PCIe 3.0 x16,149 in our database,1481 MHz,1582 MHz,,,"1376 MHz
										
					11 Gbps effective",11 GB,GDDR5X,352 bit,484.4 GB/s,3584,224,88,,,,48 KB (per SM),2.75 MB,,139.2 GPixel/s,354.4 GTexel/s,177.2 GFLOPS (1:64),11.34 TFLOPS,354.4 GFLOPS (1:32),Dual-slot,"267 mm
					10.5 inches","112 mm
					4.4 inches","40 mm
					1.6 inches",250 W,600 W,1x HDMI 2.03x DisplayPort 1.4a,1x 6-pin + 1x 8-pin,,PG611 SKU 50,12 (12_1),4.6,3.0,1.3,,
NVIDIA P104-100,https://www.techpowerup.com/gpu-specs/p104-100.c2981,GP104,GP104-100-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Dec 12th, 2017",,Mining GPUs,,,End-of-life,,,PCIe 3.0 x16,,1607 MHz,1733 MHz,,,"1251 MHz
										
					10 Gbps effective",4 GB,GDDR5X,256 bit,320.3 GB/s,1920,120,64,,,,48 KB (per SM),2 MB,,110.9 GPixel/s,208.0 GTexel/s,104.0 GFLOPS (1:64),6.655 TFLOPS,208.0 GFLOPS (1:32),Dual-slot,"267 mm
					10.5 inches",,,unknown,200 W,No outputs,1x 8-pin,,PG413 SKU 100,12 (12_1),4.6,3.0,1.3,,
NVIDIA P106-090,https://www.techpowerup.com/gpu-specs/p106-090.c2999,GP106,GP106-090-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Jul 31st, 2017",,Mining GPUs,,,End-of-life,,,PCIe 3.0 x16,,1354 MHz,1531 MHz,,,"2002 MHz
										
					8 Gbps effective",3 GB,GDDR5,192 bit,192.2 GB/s,768,48,48,,,,48 KB (per SM),1536 KB,,73.49 GPixel/s,73.49 GTexel/s,36.74 GFLOPS (1:64),2.352 TFLOPS,73.49 GFLOPS (1:32),Dual-slot,"250 mm
					9.8 inches",,,75 W,250 W,No outputs,1x 6-pin,,PG410 SKU 90,12 (12_1),4.6,3.0,1.3,,
NVIDIA P106-100,https://www.techpowerup.com/gpu-specs/p106-100.c2980,GP106,GP106-100-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Jun 19th, 2017",,Mining GPUs,,,End-of-life,,,PCIe 3.0 x16,,1506 MHz,1709 MHz,,,"2002 MHz
										
					8 Gbps effective",6 GB,GDDR5,192 bit,192.2 GB/s,1280,80,48,,,,48 KB (per SM),1536 KB,,82.03 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),Dual-slot,"250 mm
					9.8 inches",,,120 W,300 W,No outputs,1x 6-pin,,PG410 SKU 100,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P1000,https://www.techpowerup.com/gpu-specs/quadro-p1000.c2932,GP107,,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Feb 7th, 2017",,"Quadro
(Px000)",,,End-of-life,,,PCIe 3.0 x16,,1354 MHz,1392 MHz,,,"1502 MHz
										
					6 Gbps effective",4 GB,GDDR5,128 bit,96.13 GB/s,512,32,16,,,,48 KB (per SM),1024 KB,,22.27 GPixel/s,44.54 GTexel/s,22.27 GFLOPS (1:64),"1,425 GFLOPS",44.54 GFLOPS (1:32),Single-slot,"150 mm
					5.9 inches","69 mm
					2.7 inches",,47 W,200 W,4x mini-DisplayPort 1.4a,None,,PG212 SKU 502,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P1000,https://www.techpowerup.com/gpu-specs/quadro-p1000.c3680,GP107,GP107-860-A1,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Feb 7th, 2017",,"Quadro
(Px000)",,,End-of-life,,,PCIe 3.0 x16,,1266 MHz,1480 MHz,,,"1253 MHz
										
					5 Gbps effective",4 GB,GDDR5,128 bit,80.19 GB/s,640,40,32,,,,48 KB (per SM),1024 KB,,47.36 GPixel/s,59.20 GTexel/s,29.60 GFLOPS (1:64),1.894 TFLOPS,59.20 GFLOPS (1:32),Single-slot,"150 mm
					5.9 inches","69 mm
					2.7 inches",,47 W,200 W,4x mini-DisplayPort 1.4a,None,,PG212 SKU 502,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P2000,https://www.techpowerup.com/gpu-specs/quadro-p2000.c2931,GP106,GP106-875-A1,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Feb 6th, 2017",,"Quadro
(Px000)",,,End-of-life,,,PCIe 3.0 x16,,1076 MHz,1480 MHz,,,"1752 MHz
										
					7 Gbps effective",5 GB,GDDR5,160 bit,140.2 GB/s,1024,64,40,,,,48 KB (per SM),1280 KB,,59.20 GPixel/s,94.72 GTexel/s,47.36 GFLOPS (1:64),3.031 TFLOPS,94.72 GFLOPS (1:32),Single-slot,"196 mm
					7.7 inches","111 mm
					4.4 inches",,75 W,250 W,4x DisplayPort 1.4a,None,,PG410 SKU 502,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P400,https://www.techpowerup.com/gpu-specs/quadro-p400.c2934,GP107,GP107-825-KA-A1,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Feb 7th, 2017",,"Quadro
(Px000)",,,End-of-life,,,PCIe 3.0 x16,,1228 MHz,1252 MHz,,,"1002 MHz
										
					4 Gbps effective",2 GB,GDDR5,64 bit,32.06 GB/s,256,16,16,,,,48 KB (per SM),512 KB,,20.03 GPixel/s,20.03 GTexel/s,10.02 GFLOPS (1:64),641.0 GFLOPS,20.03 GFLOPS (1:32),Single-slot,"150 mm
					5.9 inches","69 mm
					2.7 inches",,30 W,200 W,3x mini-DisplayPort 1.4a,None,,PG212 SKU 500,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P4000,https://www.techpowerup.com/gpu-specs/quadro-p4000.c2930,GP104,GP104-850-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Feb 6th, 2017",,"Quadro
(Px000)",,,End-of-life,815 USD,,PCIe 3.0 x16,,1202 MHz,1480 MHz,,,"1901 MHz
										
					7.6 Gbps effective",8 GB,GDDR5,256 bit,243.3 GB/s,1792,112,64,,,,48 KB (per SM),2 MB,,94.72 GPixel/s,165.8 GTexel/s,82.88 GFLOPS (1:64),5.304 TFLOPS,165.8 GFLOPS (1:32),Single-slot,"241 mm
					9.5 inches","111 mm
					4.4 inches",,105 W,300 W,4x DisplayPort 1.4a,1x 6-pin,,PG410 SKU 501,12 (12_1),4.6,3.0,1.3,,
NVIDIA Quadro P600,https://www.techpowerup.com/gpu-specs/quadro-p600.c2933,GP107,,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Feb 7th, 2017",,"Quadro
(Px000)",,,End-of-life,,,PCIe 3.0 x16,,1329 MHz,1557 MHz,,,"1002 MHz
										
					4 Gbps effective",2 GB,GDDR5,128 bit,64.13 GB/s,384,24,16,,,,48 KB (per SM),1024 KB,,24.91 GPixel/s,37.37 GTexel/s,18.68 GFLOPS (1:64),"1,196 GFLOPS",37.37 GFLOPS (1:32),Single-slot,"150 mm
					5.9 inches","69 mm
					2.7 inches",,40 W,200 W,4x mini-DisplayPort 1.4a,None,,PG212 SKU 501,12 (12_1),4.6,3.0,1.3,,
NVIDIA Switch GPU 20nm,https://www.techpowerup.com/gpu-specs/switch-gpu-20nm.c3104,GM20B,ODNX02-A2,Maxwell 2.0,TSMC,20 nm,"2,000 million",118 mm²,"Mar 17th, 2017",,"Console GPU
(Nintendo)",,,End-of-life,299 USD,,,,384 MHz,768 MHz,,,"1600 MHz
										
					3.2 Gbps effective",4 GB,DDR4,64 bit,25.60 GB/s,256,16,16,,,,,,,12.29 GPixel/s,12.29 GTexel/s,786.4 GFLOPS (2:1),393.2 GFLOPS,12.29 GFLOPS (1:32),,"239 mm
					9.4 inches","101 mm
					4 inches","28 mm
					1.1 inches",15 W,,No outputs,None,,HAC-001,12 (12_1),4.6,1.2,1.1,,
NVIDIA TITAN V,https://www.techpowerup.com/gpu-specs/titan-v.c3051,GV100,GV100-400-A1,Volta,TSMC,12 nm,"21,100 million",815 mm²,"Dec 7th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,"2,999 USD",,PCIe 3.0 x16,4 in our database,1200 MHz,1455 MHz,,,"848 MHz
										
					1696 Mbps effective",12 GB,HBM2,3072 bit,651.3 GB/s,5120,320,96,,,,96 KB (per SM),4.5 MB,,139.7 GPixel/s,465.6 GTexel/s,29.80 TFLOPS (2:1),14.90 TFLOPS,7.450 TFLOPS (1:2),Dual-slot,"267 mm
					10.5 inches","112 mm
					4.4 inches","40 mm
					1.6 inches",250 W,600 W,1x HDMI 2.03x DisplayPort 1.4a,1x 6-pin + 1x 8-pin,,PG500 SKU 0,12 (12_1),4.6,3.0,1.3,,
NVIDIA TITAN Xp,https://www.techpowerup.com/gpu-specs/titan-xp.c2948,GP102,GP102-450-A1,Pascal,TSMC,16 nm,"11,800 million",471 mm²,"Apr 6th, 2017",,GeForce 10,GeForce 900,GeForce 20,End-of-life,"1,199 USD",,PCIe 3.0 x16,9 in our database,1405 MHz,1582 MHz,,,"1426 MHz
										
					11.4 Gbps effective",12 GB,GDDR5X,384 bit,547.6 GB/s,3840,240,96,,,,48 KB (per SM),3 MB,,151.9 GPixel/s,379.7 GTexel/s,189.8 GFLOPS (1:64),12.15 TFLOPS,379.7 GFLOPS (1:32),Dual-slot,"267 mm
					10.5 inches","112 mm
					4.4 inches","40 mm
					1.6 inches",250 W,600 W,1x HDMI 2.03x DisplayPort 1.4a,1x 6-pin + 1x 8-pin,,PG611 SKU 30,12 (12_1),4.6,3.0,1.3,,
NVIDIA Tesla P6,https://www.techpowerup.com/gpu-specs/tesla-p6.c3036,GP104,GP104-995-A1,Pascal,TSMC,16 nm,"7,200 million",314 mm²,"Mar 24th, 2017",,"Tesla
(Pxx)",,,End-of-life,,,MXM-B (3.0),,1012 MHz,1506 MHz,,,"1502 MHz
										
					6 Gbps effective",16 GB,GDDR5,256 bit,192.3 GB/s,2048,128,64,,,,48 KB (per SM),2 MB,,96.38 GPixel/s,192.8 GTexel/s,96.38 GFLOPS (1:64),6.169 TFLOPS,192.8 GFLOPS (1:32),MXM Module,,,,90 W,250 W,No outputs,None,,PG418 SKU 200,12 (12_1),4.6,3.0,1.3,,
NVIDIA Tesla V100 PCIe 16 GB,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957,GV100,,Volta,TSMC,12 nm,"21,100 million",815 mm²,"Jun 21st, 2017",,"Tesla
(Vxx)",,,End-of-life,,,PCIe 3.0 x16,,1245 MHz,1380 MHz,,,"876 MHz
										
					1752 Mbps effective",16 GB,HBM2,4096 bit,897.0 GB/s,5120,320,128,,,,128 KB (per SM),6 MB,,176.6 GPixel/s,441.6 GTexel/s,28.26 TFLOPS (2:1),14.13 TFLOPS,7.066 TFLOPS (1:2),Dual-slot,,,,300 W,700 W,No outputs,2x 8-pin,,PG500 SKU 200,12 (12_1),4.6,3.0,1.3,,
NVIDIA Tesla V100 SXM2 16 GB,https://www.techpowerup.com/gpu-specs/tesla-v100-sxm2-16-gb.c3018,GV100,,Volta,TSMC,12 nm,"21,100 million",815 mm²,"Jun 21st, 2017",,"Tesla
(Vxx)",,,End-of-life,,,PCIe 3.0 x16,,1312 MHz,1530 MHz,,,"876 MHz
										
					1752 Mbps effective",16 GB,HBM2,4096 bit,897.0 GB/s,5120,320,128,,,,128 KB (per SM),6 MB,,195.8 GPixel/s,489.6 GTexel/s,31.33 TFLOPS (2:1),15.67 TFLOPS,7.834 TFLOPS (1:2),Dual-slot,,,,250 W,600 W,No outputs,None,,,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1050 Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-mobile.c3298,GP107,,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Jan 3rd, 2017",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,15 in our database,1354 MHz,1493 MHz,,,"1752 MHz
										
					7 Gbps effective",2 GB,GDDR5,128 bit,112.1 GB/s,640,40,16,,,,48 KB (per SM),1024 KB,,23.89 GPixel/s,59.72 GTexel/s,29.86 GFLOPS (1:64),1.911 TFLOPS,59.72 GFLOPS (1:32),,,,,75 W,,No outputs,None,,,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1050 Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-mobile.c2917,GP107,N17P-G0-A1,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Jan 3rd, 2017",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,15 in our database,1354 MHz,1493 MHz,,,"1752 MHz
										
					7 Gbps effective",2 GB,GDDR5,128 bit,112.1 GB/s,640,40,16,,,,48 KB (per SM),1024 KB,,23.89 GPixel/s,59.72 GTexel/s,29.86 GFLOPS (1:64),1.911 TFLOPS,59.72 GFLOPS (1:32),,,,,75 W,,No outputs,None,,E2904 SKU 1,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1050 Ti Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-ti-mobile.c3013,GP106,,Pascal,TSMC,16 nm,"4,400 million",200 mm²,"Feb 1st, 2017",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,58 in our database,1493 MHz,1620 MHz,,,"1752 MHz
										
					7 Gbps effective",2 GB,GDDR5,128 bit,112.1 GB/s,768,48,32,,,,48 KB (per SM),1024 KB,,51.84 GPixel/s,77.76 GTexel/s,38.88 GFLOPS (1:64),2.488 TFLOPS,77.76 GFLOPS (1:32),,,,,75 W,,No outputs,None,,E2914 SKU 30,12 (12_1),4.6,3.0,1.3,,
NVIDIA GeForce GTX 1050 Ti Mobile,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-ti-mobile.c2912,GP107,N17P-G1-A1,Pascal,Samsung,14 nm,"3,300 million",132 mm²,"Jan 3rd, 2017",,GeForce 10 Mobile,GeForce 900M,GeForce 20 Mobile,End-of-life,,,PCIe 3.0 x16,58 in our database,1493 MHz,1620 MHz,,,"1752 MHz
										
					7 Gbps effective",4 GB,GDDR5,128 bit,112.1 GB/s,768,48,32,,,,48 KB (per SM),1024 KB,,51.84 GPixel/s,77.76 GTexel/s,38.88 GFLOPS (1:64),2.488 TFLOPS,77.76 GFLOPS (1:32),,,,,75 W,,No outputs,None,,E2904 SKU 1,12 (12_1),4.6,3.0,1.3,,
